1,0,0,0,0,0,0,28,2,16,0,32,10,2,0,0,0,82,14,26,0,0,6,2,2,8,4,18,6,16,0,4,0,4,20,4,24,8,4,0,8,30,0,6,6,0,2,10,10,10,16,2,10,12,6,8,8,26,0,0,0,18,24,14,4,8,26,10,12,4,10,0,0,4,0
1,0,6,0,2,0,0,2,0,10,6,12,2,12,0,0,0,48,0,20,2,22,0,0,0,4,6,12,4,26,4,0,0,12,22,16,12,2,4,12,12,10,0,16,2,0,0,10,6,14,34,0,20,8,4,10,4,8,4,2,6,14,20,6,4,4,14,22,14,2,8,0,0,10,4
1,0,0,0,2,0,2,0,6,6,0,16,2,6,2,0,0,86,10,6,0,2,0,0,4,4,2,20,6,34,0,8,0,4,20,12,0,10,8,20,8,18,4,4,2,0,0,4,8,10,18,0,0,2,4,0,4,38,2,0,2,16,22,10,4,0,8,12,22,0,4,2,4,0,2
1,0,4,0,0,0,2,32,12,46,0,28,16,20,0,0,0,66,16,6,0,2,6,0,0,4,12,14,6,10,4,0,0,26,10,16,8,4,0,2,8,16,4,8,4,0,0,0,10,8,2,0,0,18,4,6,8,40,2,0,6,8,16,16,0,12,8,12,12,4,4,0,2,4,4
1,2,2,0,0,0,0,18,2,14,6,32,6,20,0,0,0,58,10,20,0,0,6,2,0,6,2,10,6,4,6,4,10,6,14,12,12,8,20,22,2,14,2,4,8,2,8,6,6,6,6,4,10,4,8,4,2,42,0,2,10,6,16,18,6,4,18,2,0,6,16,0,0,2,0
1,0,0,0,0,0,0,22,6,12,2,26,10,2,0,0,4,78,14,14,2,8,6,2,2,4,0,6,2,6,2,6,14,4,14,32,14,6,10,14,4,22,0,2,4,2,2,4,6,12,24,8,4,2,4,12,2,10,0,0,12,10,10,10,0,10,24,4,26,8,8,2,2,0,2
1,0,2,0,0,0,0,2,2,10,2,20,16,16,0,0,0,82,18,22,0,0,6,0,0,4,8,2,4,16,4,6,14,12,20,24,8,4,10,10,4,22,0,14,2,6,6,4,2,12,26,2,4,0,2,8,6,12,0,2,12,10,26,14,10,16,6,8,22,4,8,2,6,2,8
1,0,6,4,6,0,4,44,16,20,10,22,6,8,0,0,0,80,4,4,0,8,12,4,6,2,2,0,0,6,2,4,0,6,20,8,2,0,8,6,8,10,0,12,2,2,0,8,20,10,36,6,10,4,18,2,2,2,2,2,4,0,24,14,2,8,12,6,38,2,12,2,14,2,0
1,0,0,0,6,0,0,20,16,16,0,18,2,12,0,0,2,66,14,12,0,6,10,0,0,0,10,8,4,22,2,0,8,2,10,12,12,6,18,6,8,12,2,10,4,0,0,2,22,20,16,2,6,6,12,4,4,20,2,0,2,8,32,16,6,6,16,20,36,10,8,2,0,0,10
1,0,0,0,0,0,0,0,6,24,2,44,0,12,0,0,0,46,12,22,0,4,12,0,0,6,12,10,4,18,2,0,2,12,30,16,20,4,0,8,10,18,0,12,2,0,6,20,6,34,46,2,2,12,14,8,10,18,2,0,4,12,28,20,2,2,16,30,24,2,10,4,4,0,2
