0,2,0,4,0,0,8,2,0,0,0,2,0,0,4,2,0,2,2,0,0
0,0,0,0,0,0,4,0,0,0,2,6,6,6,12,0,0,12,0,0,0
0,0,0,8,0,6,8,0,0,0,0,6,2,16,8,2,0,6,2,0,0
0,0,0,0,4,6,0,0,0,0,2,4,0,6,4,10,0,0,4,4,2
2,0,0,2,0,0,6,0,2,12,0,6,10,6,0,6,0,16,2,10,2
4,0,0,0,0,0,4,4,0,0,2,6,2,2,8,4,0,8,0,0,0
8,0,0,0,0,0,2,2,0,0,0,4,12,0,24,18,0,16,2,4,0
16,0,0,4,0,0,2,0,0,0,0,4,6,4,14,6,0,14,12,6,0
14,0,2,0,0,4,10,0,0,0,0,10,0,10,4,14,0,6,12,4,0
2,0,0,0,0,0,16,6,0,0,0,8,0,6,6,2,0,18,0,4,2
4,0,4,4,0,2,6,2,0,0,0,14,0,10,14,2,0,4,2,0,0
8,0,0,4,0,6,8,0,0,4,0,0,0,8,12,8,0,20,14,12,2
6,0,0,0,2,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,2,12,0,4,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4,0,0,22,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0
6,0,0,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,4,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,6,2,4,2,0,0,2,0,0,2
0,0,0,0,2,2,18,0,0,0,2,10,4,8,12,0,0,0,0,0,2
0,0,2,0,2,2,4,0,0,0,0,6,8,18,18,0,0,12,0,0,0
0,0,0,16,0,0,0,2,6,0,2,2,6,4,2,0,0,0,4,0,4
12,0,0,6,2,0,2,0,0,0,2,10,10,14,4,2,0,4,0,0,0
12,0,0,4,0,0,6,0,0,0,0,6,6,6,2,4,0,4,6,0,0
6,0,0,38,6,0,4,0,0,0,0,2,6,8,14,0,0,14,0,0,0
6,0,0,2,2,0,2,0,0,0,2,20,8,6,10,0,0,4,4,0,0
10,0,0,2,2,0,10,2,0,0,0,2,0,2,12,4,0,12,0,0,2
12,0,0,0,0,0,2,6,0,2,0,4,0,2,20,4,0,12,2,0,0
4,0,0,16,0,0,10,0,0,4,0,18,0,12,10,2,0,6,0,4,0
2,0,0,4,2,0,6,0,4,2,0,14,0,6,10,0,0,4,4,0,0
8,0,0,8,2,6,6,0,0,0,0,0,0,0,0,6,0,0,2,0,0
2,0,2,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,14,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0
