0,0,0,0,14,0,6,8,0,0,0,0,0,0,4,2,24,0,2,0,0,8,8,14,12,42,4,16,6,2,0
0,0,14,0,12,0,4,12,2,0,0,0,2,0,6,0,22,0,4,0,2,6,12,2,44,40,4,18,8,0,0
4,0,10,0,12,0,2,4,4,0,0,2,6,0,2,0,24,2,12,2,2,10,8,12,32,38,2,14,14,0,0
0,0,0,0,4,0,4,6,2,0,4,0,6,14,0,0,10,0,12,0,0,12,16,8,46,22,8,4,26,6,0
0,0,0,0,14,2,4,8,8,0,4,0,0,4,0,0,4,4,8,0,2,28,12,4,48,16,0,8,12,4,0
0,0,0,0,4,0,2,12,16,0,0,0,4,0,10,4,10,0,12,6,2,14,14,20,38,34,6,4,14,8,0
0,0,0,0,14,0,2,10,0,0,20,0,10,0,2,0,14,2,0,0,0,22,20,2,38,34,0,10,16,8,0
0,0,0,0,6,0,0,6,6,0,10,0,4,4,0,0,12,0,2,0,2,16,20,4,42,30,2,20,22,2,2
0,0,14,0,10,4,6,10,2,0,10,0,6,0,2,0,22,0,2,0,6,24,0,8,54,22,4,12,14,10,0
0,0,0,0,10,0,2,14,2,0,4,0,14,0,6,0,20,2,2,0,2,14,0,10,50,30,4,12,6,6,0
0,0,0,12,4,0,4,12,8,0,14,0,6,2,0,0,10,2,0,2,4,26,0,2,42,40,4,4,8,6,0
0,0,0,0,6,2,0,14,8,0,6,0,4,0,0,2,8,2,0,0,2,0,0,12,50,58,4,18,4,10,0
0,0,0,4,8,0,2,14,4,2,0,0,8,4,0,4,20,0,0,0,10,0,0,0,0,24,4,0,4,0,0
0,0,0,2,8,2,6,26,10,0,30,0,4,20,2,0,22,0,0,0,6,0,0,0,0,36,6,0,0,0,0
0,0,14,0,4,0,0,6,4,0,20,0,0,0,2,2,28,0,0,0,4,0,0,0,0,36,10,0,0,0,0
0,0,22,0,8,0,4,10,18,2,6,0,6,6,2,0,20,0,0,0,6,0,0,0,0,34,8,0,0,0,0
0,0,0,0,4,2,0,2,6,2,2,0,0,0,18,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,8,0,10,0,8,0,8,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,4,0,12,2,2,0,8,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
