0,0,0,0,0,2,26,0,8,0,4,6,10,0,0,2,60,4,12,0,0,6,0,2,2,4,2,6,14,0,4,6,0,20,26,8,4,4,8,2,14,0,4,2,2,0,0,6,2,10,0,2,8,6,0,2,36,0,4,2,10,16,4,6,2,6,6,16,6,8,4,8,2,2,2,4,0,0,0,0,14,0,0,0,2,4,2,6,8,0,10,0,0,12,2,4,16,0,0,20,42,0,2,0,4,38,0,2,2,12,2,12,0,4,8,0,2,16,12,10,2,14,14,14,2,0,0,4,4,10,2,88,4,8
0,4,0,0,0,0,2,0,12,0,14,10,22,2,0,0,84,0,36,0,2,4,2,2,6,12,16,2,4,0,0,0,0,10,16,16,6,2,14,0,4,4,12,6,2,10,2,4,6,54,6,16,6,4,2,0,22,0,2,4,6,6,0,2,2,6,2,12,4,4,0,0,4,8,0,4,0,8,8,0,18,0,10,0,4,2,2,8,2,0,4,0,0,24,2,2,0,0,0,16,38,2,10,2,0,14,4,2,10,10,8,10,4,14,0,2,2,8,18,0,0,6,8,4,0,2,0,4,2,4,4,94,2,10
2,0,0,0,0,6,4,4,22,8,38,4,16,4,0,0,76,0,4,0,2,6,0,6,2,4,8,8,10,4,0,0,0,10,10,6,2,0,6,0,12,0,4,14,2,2,8,0,2,40,0,4,0,0,0,2,16,4,2,8,8,14,8,4,0,12,16,24,4,8,0,0,2,14,2,12,0,2,4,2,12,0,4,0,4,6,0,2,4,0,4,0,0,30,0,2,22,0,0,4,4,12,2,0,2,8,0,6,14,6,12,10,10,0,2,8,0,8,6,2,0,14,2,6,4,0,0,12,10,0,0,92,12,8
0,2,0,0,0,0,26,6,10,2,22,6,12,6,0,0,50,6,0,0,0,8,0,0,14,12,6,8,0,4,0,2,6,20,18,8,2,2,8,0,10,2,4,6,0,4,0,14,4,0,0,2,4,0,2,8,14,0,0,4,8,16,4,4,4,28,18,24,6,6,4,8,0,6,0,6,0,4,6,6,12,2,2,0,2,10,8,4,0,0,2,2,0,22,0,2,8,0,0,4,16,2,0,0,0,0,0,0,6,4,2,2,10,14,6,0,4,4,18,0,6,10,6,6,2,0,0,6,2,0,0,108,6,0
2,0,0,0,0,0,10,2,8,0,40,2,32,10,0,0,62,4,8,0,4,6,8,4,8,10,16,2,10,6,2,0,12,10,0,8,6,2,12,2,4,0,2,6,0,4,2,6,10,28,0,20,4,2,0,2,36,0,4,4,8,18,10,4,6,8,12,20,2,20,0,4,2,2,4,4,0,0,4,4,14,0,8,0,4,2,4,0,6,0,8,2,0,36,2,2,0,0,0,6,8,14,4,0,0,2,0,8,2,2,2,6,18,2,10,0,14,8,22,2,4,20,16,8,4,0,2,6,4,0,0,112,12,0
0,0,0,0,0,0,22,2,16,2,20,6,26,0,0,0,70,2,20,0,4,2,0,0,4,12,0,10,26,4,2,4,0,16,6,10,4,14,6,0,10,2,8,12,2,8,0,2,8,48,0,4,2,12,10,2,16,0,2,6,10,10,6,10,12,16,20,26,2,10,0,0,2,6,0,0,0,2,6,2,8,0,2,0,16,2,2,2,12,2,0,0,0,20,2,4,2,2,0,10,8,30,2,0,6,2,0,2,8,2,8,2,4,14,2,0,0,6,22,8,0,12,14,18,4,0,0,6,8,0,0,72,6,0
0,2,0,0,0,2,2,8,6,4,36,4,30,4,0,0,62,2,12,0,8,0,2,0,2,2,6,8,8,0,4,4,0,12,20,14,4,2,4,2,8,0,2,8,4,0,0,2,4,0,8,0,6,0,14,8,42,4,4,4,10,8,4,0,6,32,8,8,10,10,12,6,10,42,2,6,0,0,10,2,4,0,14,0,20,6,0,2,6,0,2,0,0,28,2,0,6,0,0,34,14,26,0,0,0,2,0,0,4,2,6,20,14,2,0,0,0,0,10,4,4,14,12,4,0,0,0,2,6,4,6,98,4,0
0,0,0,0,0,6,34,4,30,4,10,8,24,2,0,0,76,2,18,0,4,8,2,2,0,0,22,6,20,0,2,0,2,18,14,0,0,4,22,0,4,0,4,8,4,10,2,2,6,30,4,0,14,14,6,8,16,0,6,6,6,8,2,14,2,28,18,26,4,14,6,10,4,2,2,8,2,2,8,6,4,0,0,0,22,8,2,2,20,0,4,0,0,50,0,0,4,0,2,18,4,18,8,0,0,0,0,2,8,6,8,8,12,10,8,0,0,8,12,4,6,10,8,8,2,0,0,6,6,0,0,22,8,0
6,0,0,0,0,8,28,4,22,4,26,0,54,6,0,0,60,2,26,2,4,6,0,6,10,4,6,2,12,2,0,4,0,12,8,6,4,2,4,2,6,2,0,4,4,4,4,6,2,16,4,2,4,10,4,6,24,0,6,6,0,16,8,4,6,16,4,38,10,10,4,2,8,8,0,22,2,0,4,2,2,2,10,2,22,2,2,2,2,0,2,0,0,40,2,2,4,0,0,36,14,14,0,2,0,2,0,0,2,10,6,2,2,10,8,4,0,4,12,2,0,10,4,16,0,2,0,4,4,0,0,104,10,0
2,0,0,0,0,10,2,0,8,0,36,4,46,2,0,0,56,4,36,2,0,2,2,2,0,6,10,6,14,0,4,10,6,14,14,10,10,2,12,2,8,2,4,2,6,6,8,2,10,20,2,12,8,10,18,6,28,2,4,6,2,10,4,6,8,8,0,34,10,6,0,2,4,0,4,14,0,0,20,0,6,0,2,2,20,2,4,2,0,0,0,0,0,14,2,0,8,0,0,22,6,18,2,0,0,0,0,2,2,0,2,4,6,12,2,0,0,4,20,0,4,2,10,8,6,4,0,2,4,0,2,84,14,0
